query,rank,distance,id,record_id,title,section_title,source_file,snippet
HIV antiretroviral therapy resistance,1,0.35153770446777344,pmc_002539::chunk_00000,pmc_002539,"Review of ""Therapy, Sensory Integration and the Autistic Child"" by DS. Berger",Title and abstract,PMC000xxxxxx/PMC549082.xml,"Review of ""Therapy, Sensory Integration and the Autistic Child"" by DS. Berger"
HIV antiretroviral therapy resistance,2,0.7294859886169434,pmc_002831::chunk_00021,pmc_002831,Oral vitamin B 12 therapy in the primary care setting: a qualitative and quantitative study of patient perspectives,Supplementary Material,PMC000xxxxxx/PMC554115.xml,Supplementary Material Additional File 1 Initial questionnaire Click here for file Additional File 2 Follow-up questionnaire Click here for file Additional File 3 Reasons for switching to oral therapy Click here for file Additional File 4 Reasons for not switching to oral therapy Click here for file
HIV antiretroviral therapy resistance,3,1.0,pmc_002552::chunk_00014,pmc_002552,Use of a recombinant Salmonella enterica serovar Typhimurium strain expressing C-Raf for protection against C-Raf induced lung adenoma in mice,Competing interests,PMC000xxxxxx/PMC549196.xml,Competing interests The author(s) declare that they have no competing interests.
HIV antiretroviral therapy resistance,4,1.0,pmc_002566::chunk_00023,pmc_002566,An evaluation of the metabolic syndrome in the HyperGEN study,Competing interests,PMC000xxxxxx/PMC549210.xml,Competing interests The author(s) declare that they have no competing interests.
HIV antiretroviral therapy resistance,5,1.0,pmc_002582::chunk_00010,pmc_002582,The Severe Acute Respiratory Syndrome (SARS)-coronavirus 3a protein may function as a modulator of the trafficking properties of the spike protein,Competing interests,PMC000xxxxxx/PMC549520.xml,Competing interests The author(s) declare that they have no competing interests.
diabetes insulin glucose metabolism,1,1.0,pmc_002411::chunk_00027,pmc_002411,Harnessing genomics to improve health in the Eastern Mediterranean Region – an executive course in genomics policy,Competing interests,PMC000xxxxxx/PMC548293.xml,Competing interests The author(s) declare that they have no competing interests.
diabetes insulin glucose metabolism,2,1.0,pmc_002495::chunk_00015,pmc_002495,"Prolastin, a pharmaceutical preparation of purified human α1-antitrypsin, blocks endotoxin-mediated cytokine release",Disscussion,PMC000xxxxxx/PMC549028.xml,Disscussion
diabetes insulin glucose metabolism,3,1.0,pmc_002515::chunk_00015,pmc_002515,Are ICD-10 codes appropriate for performance assessment in asthma and COPD in general practice? Results of a cross sectional observational study,Competing interests,PMC000xxxxxx/PMC549048.xml,Competing interests The author(s) declare that they have no competing interests.
diabetes insulin glucose metabolism,4,1.0,pmc_002529::chunk_00001,pmc_002529,"Remembering George L. Wied, M.D., February 7, 1921-July 25, 2004",Tribute,PMC000xxxxxx/PMC549072.xml,Tribute
diabetes insulin glucose metabolism,5,1.0,pmc_002537::chunk_00012,pmc_002537,A new example of viral intein in Mimivirus,Competing interests,PMC000xxxxxx/PMC549080.xml,Competing interests The author(s) declare that they have no competing interests.
inflammation cytokines immune response,1,0.0,pmc_000257::chunk_00000,pmc_000257,Training the Immune Response: B-cells' Master Regulator,Title and abstract,PMC000xxxxxx/PMC449904.xml,Training the Immune Response: B-cells' Master Regulator
inflammation cytokines immune response,2,0.0,pmc_001389::chunk_00000,pmc_001389,Resistin Response to Inflammation,Title and abstract,PMC000xxxxxx/PMC529432.xml,Resistin Response to Inflammation
inflammation cytokines immune response,3,0.0,pmc_002324::chunk_00011,pmc_002324,Considerations for the future development of virtual technology as a rehabilitation tool,Response behaviors in the virtual environment,PMC000xxxxxx/PMC546412.xml,Response behaviors in the virtual environment
inflammation cytokines immune response,4,0.0,pmc_002636::chunk_00009,pmc_002636,Can Routine Commercial Cord Blood Banking Be Scientifically and Ethically Justified?,Fisk and Roberts's Response to Markwald and Mironov's Viewpoint,PMC000xxxxxx/PMC549592.xml,Fisk and Roberts's Response to Markwald and Mironov's Viewpoint
inflammation cytokines immune response,5,0.0,pmc_002636::chunk_00011,pmc_002636,Can Routine Commercial Cord Blood Banking Be Scientifically and Ethically Justified?,Markwald and Mironov's Response to Fisk and Roberts's Viewpoint,PMC000xxxxxx/PMC549592.xml,Markwald and Mironov's Response to Fisk and Roberts's Viewpoint
