query,rank,distance,id,record_id,title,section_title,source_file,snippet
HIV antiretroviral therapy resistance,1,1.0,pmc_002856::chunk_00011,pmc_002856,General practitioner attitudes to the care of people with epilepsy: an examination of clustering within practices and prediction of patient-rated quality of care,Discussion,PMC000xxxxxx/PMC554779.xml,Discussion
HIV antiretroviral therapy resistance,2,1.0,pmc_002881::chunk_00011,pmc_002881,The prevalence of dental erosion in Nigerian patients with gastro-oesophageal reflux disease,Discussion,PMC000xxxxxx/PMC554987.xml,Discussion
HIV antiretroviral therapy resistance,3,1.0,pmc_002895::chunk_00021,pmc_002895,Ca 2+ regulation in the absence of the iplA gene product in Dictyostelium discoideum,Discussion,PMC000xxxxxx/PMC555532.xml,Discussion
HIV antiretroviral therapy resistance,4,1.0,pmc_002901::chunk_00015,pmc_002901,"Human desmoid fibroblasts: matrix metalloproteinases, their inhibitors and modulation by Toremifene",Discussion,PMC000xxxxxx/PMC555538.xml,Discussion
HIV antiretroviral therapy resistance,5,1.0,pmc_002902::chunk_00012,pmc_002902,The effects of quercetin on SW480 human colon carcinoma cells: a proteomic study,Discussion,PMC000xxxxxx/PMC555539.xml,Discussion
diabetes insulin glucose metabolism,1,0.6586318016052246,pmc_000961::chunk_00001,pmc_000961,Comparison of glucose tolerance in renal transplant recipients and hemodialysis patients,Background,PMC000xxxxxx/PMC522749.xml,"Background Mortality and morbidity due to cardiovascular diseases are frequent in patients with diabetes mellitus and high prevalence of diabetes and cardiovascular disease, also, are observed in patients with end-stage renal disease treated by renal replacement therapy, either renal transplantation (RT) and dialysis ["
diabetes insulin glucose metabolism,2,0.6836269497871399,pmc_001051::chunk_00005,pmc_001051,Metabolic response of people with type 2 diabetes to a high protein diet,Results,PMC000xxxxxx/PMC524031.xml,". However, there was a relatively large increase in insulin concentration in the subjects with type 2 diabetes [ 5 ]. Indeed, it was about four-fold greater than in the non-diabetic subjects (Figure 2 ). We also determined that the rise in insulin following the ingestion of 50 g of beef protein was just as potent in ra"
diabetes insulin glucose metabolism,3,0.6861237287521362,pmc_002632::chunk_00010,pmc_002632,Case-Based Study: From Prediabetes to Complications—Opportunities for Prevention,DISCUSSION,PMC000xxxxxx/PMC549588.xml,". The class of TZDs works to lower plasma glucose levels by increasing insulin sensitivity in muscle and liver [ 22 ]. TZDs lower mean HbA1c modestly when added to metformin as compared to metformin alone [ 23 ]. Side effects include weight gain and water retention, and patients with a history of New York Heart Associa"
diabetes insulin glucose metabolism,4,0.6920799016952515,pmc_001999::chunk_00002,pmc_001999,Transcriptional regulation of lipid metabolism by fatty acids: a key determinant of pancreatic β-cell function,Type 2 diabetes and free fatty acids,PMC000xxxxxx/PMC544854.xml,"Type 2 diabetes and free fatty acids Diabetes affects 6 % of the adult population and, with a growth rate of 6% per year, it is estimated that 200 to 300 million people worldwide will be afflicted by the end of this decade [ 3 ]. Type 1 diabetes, which accounts for < 10 % of all cases of diabetes [ 4 ], results from au"
diabetes insulin glucose metabolism,5,0.6987679600715637,pmc_000831::chunk_00017,pmc_000831,Glucose-stimulated insulin response in pregnant sheep following acute suppression of plasma non-esterified fatty acid concentrations,Discussion,PMC000xxxxxx/PMC519029.xml,"There are two important findings of these studies. Firstly, circulating maternal insulin concentration and glucose-stimulated insulin release decrease as gestation advances. Secondly, the imposition of a two-hour hyperglycaemic clamp in pregnant ewes reduces NEFA concentrations, to concentrations not different form the"
inflammation cytokines immune response,1,0.6598127484321594,pmc_002961::chunk_00004,pmc_002961,"Angiogenesis in cancer of unknown primary: clinicopathological study of CD34, VEGF and TSP-1",Methods,PMC000xxxxxx/PMC555600.xml,. Positive control slides were included in all cases. All dilutions were made in TBS-1% BSA solution and were followed by overnight incubation. The assessment of immunostaining was made by two experienced pathologists using light microscope. Tumor specimens too small to provide sufficient sections for all the immunoass
inflammation cytokines immune response,2,0.6666666269302368,pmc_002195::chunk_00009,pmc_002195,Prognostic significance of metallothionein expression in renal cell carcinoma,Results,PMC000xxxxxx/PMC545945.xml,". Figure 2 Cancer-specific survival of patients according to intensity of staining for MT (no staining, green line; mild/moderate staining, blue line; intense staining, red line). No statistically significant difference was detected (p = 0.09). Non statistical correlation was found among MT extent of staining and histo"
inflammation cytokines immune response,3,0.6899622082710266,pmc_002961::chunk_00006,pmc_002961,"Angiogenesis in cancer of unknown primary: clinicopathological study of CD34, VEGF and TSP-1",Results,PMC000xxxxxx/PMC555600.xml,Results Demographics of studied cases are depicted in Tables 1 and 2 . Overall survival of patients included in this study is shown in Figure 1 . (Median survival 10 months). Immunohistochemistry Microvessel density Widespread staining for CD34 was seen in all tumor specimens. Within the most prominent vascular areas o
inflammation cytokines immune response,4,0.7080398797988892,pmc_001583::chunk_00005,pmc_001583,Density-independent population projection trajectories of chromosome-substituted lines resistant and susceptible to organophosphate insecticides in Drosophila melanogaster,Results,PMC000xxxxxx/PMC535562.xml,"Age-specific fecundity averaged over replications, which were used for constructing a Leslie matrix for each chromosome-substituted line, is shown in Figure 1 . Under the density-independent conditions in this study, a genotype similar to line SSS whose chromosomes were all derived from the susceptible line #451-4 coul"
inflammation cytokines immune response,5,0.7103191614151001,pmc_001271::chunk_00003,pmc_001271,First successful case of in vitro fertilization-embryo transfer with venom immunotherapy for hymenoptera sting allergy,Case report,PMC000xxxxxx/PMC526761.xml,"A 39 year-old Caucasian G 4 P 1031 was referred for evaluation and management of recurrent pregnancy loss. Medical history was significant for known carrier state for β-thalassemia. Mild hypothyroidism had been diagnosed in 2002 with immediate initiation of replacement therapy. The patient was a non-smoker, in good gen"
