query,rank,distance,id,record_id,title,section_title,source_file,snippet
HIV antiretroviral therapy resistance,1,0.4339064955711365,pmc_001859::chunk_00000,pmc_001859,Modeling the HIV Epidemic in Africa,Title and abstract,PMC000xxxxxx/PMC543465.xml,Modeling the HIV Epidemic in Africa
HIV antiretroviral therapy resistance,2,0.4821033477783203,pmc_000351::chunk_00001,pmc_000351,"""A calorie is a calorie"" violates the second law of thermodynamics",Review,PMC000xxxxxx/PMC506782.xml,Review
HIV antiretroviral therapy resistance,3,0.4821033477783203,pmc_001256::chunk_00001,pmc_001256,Nutrition and cancer: A review of the evidence for an anti-cancer diet,Review,PMC000xxxxxx/PMC526387.xml,Review
HIV antiretroviral therapy resistance,4,0.4821033477783203,pmc_001518::chunk_00001,pmc_001518,"Spider silks: recombinant synthesis, assembly, spinning, and engineering of synthetic proteins",Review,PMC000xxxxxx/PMC534800.xml,Review
HIV antiretroviral therapy resistance,5,0.4821033477783203,pmc_003021::chunk_00001,pmc_003021,Patient-Reported Outcome and Quality of Life Instruments Database (PROQOLID): Frequently asked questions,Review,PMC000xxxxxx/PMC555954.xml,Review
diabetes insulin glucose metabolism,1,0.4485105872154236,pmc_001075::chunk_00004,pmc_001075,ImageParser: a tool for finite element generation from three-dimensional medical images,Description,PMC000xxxxxx/PMC524181.xml,Description
diabetes insulin glucose metabolism,2,0.5560075640678406,pmc_000271::chunk_00003,pmc_000271,Experimental data on filtration–consolidation dewatering kinetics of different cassava flours,Data Description,PMC000xxxxxx/PMC466970.xml,Data Description
diabetes insulin glucose metabolism,3,0.5767614841461182,pmc_000694::chunk_00004,pmc_000694,Adaptation and Immunity,Treating RNA Virus Infections Through Lethal Mutagenesis,PMC000xxxxxx/PMC516797.xml,Treating RNA Virus Infections Through Lethal Mutagenesis
diabetes insulin glucose metabolism,4,0.6138925552368164,pmc_001377::chunk_00001,pmc_001377,A 33-Year-Old Man with a Facial Rash,DESCRIPTION of CASE,PMC000xxxxxx/PMC529420.xml,DESCRIPTION of CASE
diabetes insulin glucose metabolism,5,0.6138925552368164,pmc_002632::chunk_00001,pmc_002632,Case-Based Study: From Prediabetes to Complications—Opportunities for Prevention,DESCRIPTION of CASE,PMC000xxxxxx/PMC549588.xml,DESCRIPTION of CASE
inflammation cytokines immune response,1,0.5449784994125366,pmc_001208::chunk_00021,pmc_001208,Current practices in the spatial analysis of cancer: flies in the ointment,The future,PMC000xxxxxx/PMC526213.xml,The future
inflammation cytokines immune response,2,0.5449784994125366,pmc_001595::chunk_00011,pmc_001595,"Mathematics Is Biology's Next Microscope, Only Better; Biology Is Mathematics' Next Physics, Only Better",The Future,PMC000xxxxxx/PMC535574.xml,The Future
inflammation cytokines immune response,3,0.554945170879364,pmc_000355::chunk_00008,pmc_000355,Cancer of the endometrium: current aspects of diagnostics and treatment,Early detection,PMC000xxxxxx/PMC506786.xml,Early detection
inflammation cytokines immune response,4,0.599380612373352,pmc_001205::chunk_00019,pmc_001205,Community nursing needs more silver surfers: a questionnaire survey of primary care nurses' use of information technology,Supplementary Material,PMC000xxxxxx/PMC526210.xml,Supplementary Material Additional File 1 Community nurses access to and use of computers: questionnaire Click here for file
inflammation cytokines immune response,5,0.6285339593887329,pmc_000257::chunk_00000,pmc_000257,Training the Immune Response: B-cells' Master Regulator,Title and abstract,PMC000xxxxxx/PMC449904.xml,Training the Immune Response: B-cells' Master Regulator
